Company,Link,Link-Count,DocURL,Error
Fnb Corp,https://www.fnb-online.com/about-us/investor-information/reports-and-filings/annual-reports,,https://investors.flowersfoods.com/~/media/Files/F/Flowers-Foods-V3/documents/investor-fact-sheet-september-2023.pdf,"Message: unknown error: net::ERR_TUNNEL_CONNECTION_FAILED
  (Session info: chrome=119.0.6045.107)
Stacktrace:
	GetHandleVerifier [0x00E572A3+45731]
	(No symbol) [0x00DE2D51]
	(No symbol) [0x00CD880D]
	(No symbol) [0x00CD508E]
	(No symbol) [0x00CCB4B2]
	(No symbol) [0x00CCC34F]
	(No symbol) [0x00CCB746]
	(No symbol) [0x00CCAAF8]
	(No symbol) [0x00CCAA9A]
	(No symbol) [0x00CC97F2]
	(No symbol) [0x00CC9ED8]
	(No symbol) [0x00CDA5B3]
	(No symbol) [0x00D3BD41]
	(No symbol) [0x00D27FDC]
	(No symbol) [0x00D3B7A2]
	(No symbol) [0x00D27DD6]
	(No symbol) [0x00D031F6]
	(No symbol) [0x00D0439D]
	GetHandleVerifier [0x01160716+3229462]
	GetHandleVerifier [0x011A84C8+3523784]
	GetHandleVerifier [0x011A214C+3498316]
	GetHandleVerifier [0x00EE1680+611968]
	(No symbol) [0x00DECCCC]
	(No symbol) [0x00DE8DF8]
	(No symbol) [0x00DE8F1D]
	(No symbol) [0x00DDB2C7]
	BaseThreadInitThunk [0x75CF6A39+25]
	RtlGetFullPathName_UEx [0x77D57D1D+173]
	RtlGetFullPathName_UEx [0x77D57CEB+123]
"
Fnf Group,https://www.investor.fnf.com/financial-information/financial-documents,10.0,,
Foot Locker Inc,https://investors.footlocker-inc.com/financial-information/annual-reports,0.0,,
Ford Motor Company,https://shareholder.ford.com/investors/financials-and-filings/default.aspx#annual,15.0,,
Formosa Petrochemical,http://www.fpcc.com.tw/en/ir/financials,7.0,,
Fortinet Inc.,https://investor.fortinet.com/annual-reports-and-proxies,30.0,,
Fortive Corp.,https://investors.fortive.com/financial-reports-filings/annual-reports-and-proxy-statements/default.aspx,0.0,,
Fortune Brands Home & Security Inc.,https://ir.fbhs.com/annual-reports-and-proxies,5.0,,
Fox Corporation,https://investor.foxcorporation.com/reports/annual-reports,11.0,,
Franklin Resources Inc.,https://investors.franklinresources.com/investor-relations/investor-home/default.aspx,0.0,,
